id,項次,提案日期,棟別,樓層,站點,類別,提案人,案件分類,問題描述,PDCA,截止日期,專案Owner,項目DueDate,進度紀錄,Status
1df61f32-238e-402f-b03b-c20609c1574e,20251003102951,20251003,全棟別,全樓層,"435, 666,",專案,詹睿穎,,453,P,TBD,"63, 453, 453, ",TBD,,New
56c6c837-5cc5-4173-b232-d96d30b1fa5e,20251001112234,20251001,K11,8F,"3670,",工作,F1350,軟體,程式開啟時，關閉後流道併批功能預設為勾起,P,20251009,G8751,20251008,,Pending
bc00e659-4a26-4ac9-8484-5c4bd4ae63ca,20250930131635,20250930,全棟別,全樓層,ALL,專案,C9228,軟體,"先前因CIM未申請專屬Down Code，故只能以 ""站點_A99"" 當簽修Code簽機
但現行不是每個站點都有A99這個Code，沒有的將無法觸發自動簽機成功
故已在近日完成了對GMO & IT & A3 MES Down Code 的申請，並已完成
故需要針對現行自動化設備簽修機Down Code變更 ： ""站點_A99"" 改成 ""D95""",P,TBD,,TBD,,New
81c1d9d9-1ca0-49d0-97e0-2d67e2e7d153,20250927115633,20250325,K21,8F,"3400,",專案,K16845,硬體,"1.跳DIE偵測觸發，手臂停止位置太高，排除時有產品及工安風險
2.手臂收到禁止搬運指令時，手臂急停位置太高，排除時有產品及工安風險",P,TBD,K06910,TBD,06/04: 待K18上線後平展至K21。,Pending
60ef9e37-e003-4e3a-8901-17b77592d897,20250927115417,20240906,K21,8F,"3410,",專案,G9493,硬體,3410 A & B Line烤箱排除空間侷限,D,TBD,K02824,TBD,07/02: PO已成立，備料8/E，屆時需借機施工。,Pending
0b183010-273d-47ac-b1fb-662a9bdcc7fc,20250927115126,20240906,K21,8F,"2500,",專案,G9493,硬體,2500 B Line烤箱排除空間侷限,D,TBD,K02824,TBD,07/02: PO已成立，備料8/E，屆時需借機施工。,Pending
5be7b716-b05b-477e-8b17-546afdfa2a40,20250927114653,20240826,K21,8F,"2715,",專案,G9493,硬體,K21-8F_2715-A&B區_台車 如果遇到台車夾爪卡在換盒區時，人員無法進入排除，前方流道並無空間進入，後方也被台車Z軸擋住，可能會造成貨批風險,D,TBD,K02824,TBD,07/02: PO已成立，備料8/E，屆時需借機施工。,Pending
acb3709f-81f6-4fb1-9773-3dac7be92878,20250927114358,20250620,K22,5F,"3400,",工作,K16639,軟體,K22-5F 3400 B3有異常人員都需手動清線 (品質風險),P,TBD,G2304,TBD,09/24: 待銘傑與主任確認做法,Pending
f7b389f9-177d-44dc-a5fd-e4790a37946a,20250927114029,20250822,K21,8F,"3390,",專案,23544,硬體,"A05/A06人員異常處理時未注意到手臂位置
手動移動克雷兒平台導致死貨。",P,TBD,F9150,TBD,09/10: 廠商評估中。,On Going
1015d4ce-7ac5-4dd2-8f22-7d7dfa8a8c97,20250927113254,20250620,K21,8F,"3390,",專案,K12889,軟體,"換盒機某一格若有作業風險，皆須待RR班人員確認。
新增換盒機鎖格功能，維持作業產出。",D,TBD,G2304,TBD,09/24: 奇業相關人員尚未返台,On Going
a8971270-19e2-4a12-a885-cbdb3978a2c3,20250927112711,20250707,全棟別,全樓層,"All,",專案,F9358,軟體,"有一顆新產品需走第四次的電漿清洗以及
第四次的覆晶封膠(UF)
需新增
3390 Plasma 的站點3386 以及 
3400 UF 的站點 3403",D,TBD,G2304,TBD,"07/23: Jasonwei 3386 已測試完可手動過帳，待3403
              Nabar  EPTALK新增站點3403、3404",On Going
a9a29780-7b62-4f81-917d-20c67f920f33,20250927112424,20250910,K11,5F,"3410,",工作,K16639,軟體,WIP需求新增鎖儲格功能TEST,D,20251015,G2304,20251015,10/05: 56,On Going
6f59e292-40d4-4c98-bed4-63768e0c1431,20250927112024,20250923,K11,5F,"3380,",工作,K16639,軟體,"烤箱程式
1.新增搜尋功能，盒號or批號
2.第一套程式版面UI修復",P,20251015,G8751,20251015,"09/24: 預計10/8完成，一周驗證。
第一套程式版面UI修復(暫不列入執行)",On Going
b25cd21b-33ee-447c-b452-68b3133d4e74,20250927111356,20250910,K22,8F,"DryRoom,",工作,F1350,軟體,Dispatch 需要新增自動登出，控管多批取貨功能,C,20251001,G8751,20251001,09/24: 待程式上線，一周驗證。,On Going
51446c82-a2e8-4b1a-8efe-60c23c164fc8,20250927111109,20250908,K11,8F,All,工作,C9228,軟體,新增自動報修測試頁面，可輸入ClassName、CIMAlarmCode及MES自動報修Code做測試,P,20250924,G8751,20250924,09/24: 功能驗證OK，結案。,Closed
00779f9f-f3f2-40b2-9028-31bbf9df3889,20250927110726,20250908,K11,8F,"4507, 3910,",工作,C9228,軟體,建議將看板內的 貨批相關欄位增加排序鈕，以利快速查詢所要的批號,P,20251001,G8751,20251001,09/24: 先暫停，待大變更方向確定。,Pending
d4fa1d61-7f56-4f73-b02a-4962bfa9d25b,20250927110046,20250908,K11,8F,"4507, 3910,",工作,C9228,軟體,建議將看板內的 手自動、狀態、機台號碼、參數名稱欄位縮編，或自動調整，以利顯示畫面正常,P,20251001,G8751,20251001,09/24: 先暫停，待大變更方向確定。,Pending
