Week,Factory,2D消除,EAP重開,過帳異常,關閉比對,其他事項,更新/搬遷,總計
2025-W03,ASEF1,0,0,12,0,0,0,12
2025-W03,ASEF3,8,27,53,43,0,0,131
2025-W04,ASEF1,1,4,16,28,5,0,54
2025-W04,ASEF3,7,42,55,83,0,0,187
2025-W05,ASEF1,0,6,34,28,4,0,72
2025-W05,ASEF3,10,28,83,59,0,0,180
2025-W06,ASEF1,0,4,17,23,5,0,49
2025-W06,ASEF3,15,29,67,78,1,0,190
2025-W07,ASEF1,0,4,25,23,5,0,57
2025-W07,ASEF3,24,17,44,82,1,0,168
2025-W08,ASEF1,2,2,14,24,2,0,44
2025-W08,ASEF3,23,12,21,63,0,0,119
2025-W09,ASEF1,0,5,23,22,3,0,53
2025-W09,ASEF3,14,18,19,79,2,0,132
2025-W10,ASEF1,0,6,29,29,2,1,67
2025-W10,ASEF3,8,9,19,96,2,0,134
2025-W11,ASEF1,0,7,21,33,3,0,64
2025-W11,ASEF3,16,7,27,129,0,0,179
2025-W12,ASEF1,0,2,15,29,5,0,51
2025-W12,ASEF3,12,6,32,151,0,1,202
2025-W13,ASEF1,6,1,10,33,4,0,54
2025-W13,ASEF3,14,9,28,112,1,0,164
2025-W14,ASEF1,6,3,22,33,2,0,66
2025-W14,ASEF3,20,13,56,106,4,0,199
2025-W15,ASEF1,0,4,17,46,6,0,73
2025-W15,ASEF3,11,0,20,110,2,14,157
2025-W16,ASEF1,0,2,19,12,4,0,37
2025-W16,ASEF3,38,5,49,104,1,0,197
2025-W16,ASEF5,0,0,0,1,0,0,1
2025-W17,ASEF1,1,3,9,15,4,1,33
2025-W17,ASEF3,18,1,21,103,0,0,143
2025-W17,ASEF5,0,1,2,1,0,0,4
2025-W18,ASEF1,0,2,5,11,4,0,22
2025-W18,ASEF3,7,1,36,101,1,0,146
2025-W19,ASEF1,0,0,10,15,4,0,29
2025-W19,ASEF3,14,2,21,129,1,0,167
2025-W19,ASEF5,0,0,2,0,0,0,2
2025-W20,ASEF1,1,2,10,5,8,0,26
2025-W20,ASEF3,18,7,39,128,4,0,196
2025-W20,ASEF5,0,1,0,5,0,0,6
2025-W21,ASEF1,0,3,3,4,8,0,18
2025-W21,ASEF3,9,6,22,120,0,0,157
2025-W21,ASEF5,0,0,4,1,0,0,5
2025-W22,ASEF1,3,1,12,4,5,0,25
2025-W22,ASEF3,14,4,26,142,2,0,188
2025-W22,ASEF5,0,0,0,1,0,0,1
2025-W23,ASEF1,0,3,11,4,2,0,20
2025-W23,ASEF3,16,6,31,127,1,0,181
2025-W24,ASEF1,0,1,9,3,1,0,14
2025-W24,ASEF3,12,1,20,165,0,0,198
2025-W24,ASEF5,0,0,8,0,0,0,8
2025-W25,ASEF1,2,2,17,5,6,0,32
2025-W25,ASEF3,16,3,36,156,0,1,212
2025-W25,ASEF5,0,0,0,1,0,0,1
2025-W26,ASEF1,0,0,18,9,1,0,28
2025-W26,ASEF3,14,0,40,155,1,0,210
2025-W26,ASEF5,0,2,3,1,0,0,6
2025-W27,ASEF1,0,1,12,16,5,0,34
2025-W27,ASEF3,17,2,33,101,1,0,154
2025-W27,ASEF5,0,0,1,0,0,0,1
2025-W28,ASEF1,2,0,13,11,0,0,26
2025-W28,ASEF3,16,3,22,110,1,0,152
2025-W28,ASEF5,0,0,6,1,0,0,7
2025-W29,ASEF1,1,0,11,8,2,0,22
2025-W29,ASEF3,13,5,29,106,0,33,186
2025-W29,ASEF5,0,1,1,1,0,0,3
2025-W30,ASEF1,2,0,12,9,2,2,27
2025-W30,ASEF3,14,3,23,106,0,1,147
2025-W31,ASEF1,0,3,9,8,5,0,25
2025-W31,ASEF3,16,3,49,109,2,0,179
2025-W31,ASEF5,0,0,0,0,0,0,0
2025-W32,ASEF1,3,1,12,10,0,0,26
2025-W32,ASEF3,18,3,237,73,0,0,331
2025-W31,ASEF5,0,0,0,0,0,0,0
2025-W33,ASEF1,0,1,14,8,2,0,25
2025-W33,ASEF3,19,9,144,80,0,0,252
2025-W33,ASEF5,0,1,2,0,0,0,3
2025-W34,ASEF1,0,0,15,18,3,0,36
2025-W34,ASEF3,15,1,158,91,0,12,277
2025-W35,ASEF1,0,0,7,13,4,0,24
2025-W35,ASEF3,13,2,112,96,0,16,239
2025-W35,ASEF5,0,0,0,0,0,0,0
2025-W36,ASEF1,K21(1),K21(1)/K22(1),K21(6)/K22(5),K21(3)/K22(6),K21(2),K22(1),26
2025-W36,ASEF3,K11(12)/K25(3),K11(4)/K25(3),K11(6)/K25(76),K11(108),0,K11(87)/K25(4),303
2025-W36,ASEF5,0,0,K18(3),0,0,0,3
2025-W37,ASEF1,0,K22(1),K21(12)/K22(4),K21(5)/K22(8),K21(6),0,36
2025-W37,ASEF3,K11(13)/K25(2),K11(2)/K25(1),K11(15)/K25(33),K11(112),0,0,178
2025-W37,ASEF5,0,0,K18(1),K18(7),0,0,8
2025-W38,ASEF1,0,0,K21(6)/K22(2),K21(2)/K22(2),K21(1),0,13
2025-W38,ASEF3,K11(15)/K25(3),K11(3)/K25(8),K11(13)/K25(58),K11(72),0,0,172
2025-W38,ASEF5,0,K18(1),K18(7),0,0,0,8
2025-W39,ASEF1,0,0,K21(13)/K22(2),K21(3)/K22(5),K21(2),0,25
2025-W39,ASEF3,K11(10)/K25(25),K11(4)/K25(73),K11(5)/K25(504),K11(86),0,0,707
2025-W40,ASEF1,0,0,K21(17)/K22(2),K22(4),K21(5),0,28
