Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-6-2, 01:18",自動化設備相關,4110,機台異常,
ASEF3,"2025-6-2, 01:34",關閉比對,4730,關整台,
ASEF3,"2025-6-2, 02:32",自動化設備相關,4110,機台異常,
ASEF1,"2025-6-2, 04:24",過帳相關,2195,無法過帳,RUN TOSA
ASEF3,"2025-6-2, 05:36",自動化設備相關,4110,機台異常,
ASEF3,"2025-6-2, 06:30",自動化設備相關,4110,機台異常,
ASEF1,"2025-6-2, 07:45",自動化設備相關,2500,機台異常,NG
ASEF1,"2025-6-2, 07:46",自動化設備相關,2715,過壓防撞,NG
ASEF1,"2025-6-2, 07:48",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF3,"2025-6-2, 07:49",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-6-2, 07:49",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-2, 07:50",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF1,"2025-6-2, 07:52",自動化設備相關,2500,卡盒卡盤,B LINE NG
ASEF3,"2025-6-2, 07:52",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-2, 07:52",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-2, 07:53",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-2, 07:53",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-2, 07:53",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-2, 07:54",關閉比對,4730,關整台,4730#603 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-2, 07:56",自動化設備相關,3260,機台異常,NG
ASEF3,"2025-6-2, 08:02",過帳相關,3910,連線異常,"請協助刪除作業記錄
5-20NFFP-007-002"
ASEF1,"2025-6-2, 08:16",自動化設備相關,2715,機台異常,2715-A02NG
ASEF1,"2025-6-2, 08:33",過帳相關,2195,連線異常,"TOSA作業己作完,請改回正常作業模式"
ASEF1,"2025-6-2, 08:36",自動化設備相關,2715,過壓防撞,NG
ASEF1,"2025-6-2, 08:37",自動化設備相關,2715,機台異常,2715-A03 NG
ASEF1,"2025-6-2, 08:54",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF1,"2025-6-2, 09:17",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF1,"2025-6-2, 09:19",自動化設備相關,2715,卡盒卡盤,卡盤過壓
ASEF1,"2025-6-2, 09:46",自動化設備相關,2500,卡盒卡盤,A區異常
ASEF1,"2025-6-2, 10:35",自動化設備相關,2715,卡盒卡盤,過壓
ASEF1,"2025-6-2, 10:36",自動化設備相關,2715,卡盒卡盤,過壓
ASEF1,"2025-6-2, 13:06",自動化設備相關,2500,機台異常,A B LINE NG
ASEF1,"2025-6-2, 14:40",過帳相關,3910,無法過帳,3910-C01S  因VPS讀取失敗，導致無法打印該條產品。批號為 :  5-22IEX1-002-009，目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝。
ASEF3,"2025-6-2, 15:40",過帳相關,3910,連線異常,"5-KVQMUT-042-002
5-KVQMUT-042-003
刪除以上2D記錄"
ASEF1,"2025-6-2, 17:58",自動化設備相關,2500,機台異常,A B LINE NG
ASEF3,"2025-6-2, 19:51",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-6-2, 19:52",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
