廠別,棟別,樓層,站點,MachID,問題分類,問題描述,問題子分類,報案時間
ASEF3,K25,8F,3190,ALL,自動化設備相關,,卡盒卡盤,2026/5/3 下午 09:24:21
ASEF3,K25,8F,2890,801,自動化設備相關,,卡盒卡盤,2026/5/3 下午 09:03:41
ASEF3,K11,6F,4730,602,關閉比對,4730#602  167L  CU AI PROFILE 升溫率異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/3 下午 09:03:04
ASEF3,K11,9F,4730,819,關閉比對,4730#819   1084L   AI PROFILE MTK  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/3 下午 07:49:43
ASEF3,K11,9F,4515,651,關閉比對,4515#651     需過帳4554站點，請協助關閉防漏洗功能,關整台,2026/5/3 下午 07:49:22
ASEF3,K11,8F,4730,814,關閉比對,4730#814   1204L   AI PROFILE MTK  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/3 下午 07:49:07
ASEF3,K11,8F,4730,812,關閉比對,4730#812  1310L  CU AI PROFILE  迴焊時間異常，ME需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/3 下午 07:48:49
ASEF3,K11,7F,4730,822,關閉比對,4730#822   852L   AI PROFILE MTK  ，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/3 下午 07:48:28
ASEF3,K11,7F,4730,821,關閉比對,4730#821   358L   AI PROFILE 爐溫未建立，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/3 下午 07:48:11
ASEF3,K11,7F,4730,803,關閉比對,4730#803   234L   AI PROFILE S-Q-X4L  未建檔，需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,關整台,2026/5/3 下午 07:47:55
ASEF3,K25,9F,4730,9001,關閉比對,,關整台,2026/5/3 下午 07:46:23
