週次,過帳異常,2D消除,更新/搬遷,總計
2025-W03,65,8,0
2025-W04,71,8,0
2025-W05,117,10,0
2025-W06,84,15,0
2025-W07,69,24,0
2025-W08,35,25,0
2025-W09,42,14,0
2025-W10,48,8,1
2025-W11,48,16,0
2025-W12,47,12,1
2025-W13,38,20,0
2025-W14,78,26,0
2025-W15,37,11,0
2025-W15,37,11,14
2025-W16,68,38,0
2025-W17,32,19,1
2025-W18,41,7,0
2025-W19,33,14,0
2025-W20,49,19,0
2025-W21,29,9,0
2025-W22,38,17,0
2025-W23,42,16,0
2025-W24,37,12,0
2025-W25,53,18,1
2025-W26,61,14,0
2025-W27,46,17,0
2025-W28,41,18,0
2025-W29,41,14,33,211
2025-W30,35,16,3,174
2025-W31,58,16,0,204
2025-W32,249,21,0,357
2025-W33,160,19,0,280
2025-W34,173,15,12,313
2025-W35,119,13,16,263
2025-W36,96,16,92,332
2025-W37,65,15,0,222
2025-W38,86,18,0,193
2025-W39,524,35,0,732
2025-W40,450,30,0,629
2025-W41,347,4,0,495
2025-W42,113,14,7,197
2025-W43,166,21,4,300
2025-W44,46,7,8,166
2025-W45,56,5,4,150
2025-W46,65,19,1,184
2025-W47,52,10,0,187
2025-W48,53,10,0,188
2025-W49,25,2,1,148
2025-W50,18,8,2,108
2025-W51,25,11,0,145
2025-W52,18,10,0,126
2026-W01,34,9,0,154
2026-W02,21,11,2,154
2026-W03,24,6,0,178
2026-W04,32,9,2,176
2026-W05,23,9,0,153
2026-W06,16,7,0,78
2026-W07,11,11,0,115
2026-W08,36,7,0,154
2026-W09,25,14,0,165
2026-W10,21,6,1,171
2026-W11,42,10,0,163
2026-W12,39,12,0,226
2026-W13,45,10,0,232
2026-W14,14,14,0,147
2026-W15,21,8,0,162
2026-W16,27,13,0,179
2026-W17,16,4,0,134
2026-W18,16,7,1,139
2026-W19,16,25,0,181
2026-W20,43,13,1,218
2026-W21,32,15,1,237
2026-W22,14,14,0,213
2026-W23,25,14,6,247
2026-W24,23,18,15,257
2026-W25,15,8,3,251
2026-W26,30,15,11,246
2026-W27,23,16,3,222
2026-W28,39,18,3,237
2026-W29,30,16,0,259
2026-W30,25,17,0,230
